,name,age,city,country,gender,join_date,total tweets,followers,following,respectability,verified,tweet,likes,retweets,word count,is quote,hashtags,hashtag count,trending,date,tweet id
18,ButchersofD,,Toronto,Canada,,2014-03-30,305,104,84,0.8076923076923077,False,Just posted a photo @ Riverside Neighbourhood https://t.co/34gHBUDuDD,0,0,8,False,,0,"['gracie', 'Friday the 13th', 'Lisa Marie Presley', '#NHLAllStarVote', 'Biden', 'Subban', '#fridaymorning', '#flames1stgoal', '#VibeFtJimin', '#FULCHE', 'Jeff Beck', 'OHIP', 'Lori Harvey', 'Garland', 'Davos', 'Willian', 'Joao Felix', 'Velma', 'Weber', 'Therrien', 'Priscilla', 'Sergachev', 'jake evans', 'Luka', 'Fulham', 'Robbie Bachman', 'William Nylander', 'M&Ms', 'WARRIOR NUN NEW HOME', 'Taeyang', 'Chalobah', 'Koulibaly', 'Benjamin Mendy', 'Star Blanket Cree Nation', 'Vendredi 13', 'GAME DAY', 'Carey', 'Passion of the Christ 2', 'McMann', 'Cole Caufield', 'Doug Ford', 'Break Point', 'WotC', 'Tesla', 'Paul Ryan', ""Saint-Roch-de-l'Achigan"", 'Markov', 'South Dakota', 'Leafs', 'Morty']",2023-01-13,1613957510775582720
19,thaihouse,,North Vancouver,Canada,,2009-03-17,13702,4231,4081,0.9645473883242732,False,"Just posted a photo @ North Vancouver, British Columbia https://t.co/1xbzXbWjOM",0,0,10,False,,0,"['Friday the 13th', 'Lisa Marie Presley', '#NHLAllStarVote', 'Biden', 'Subban', '#fridaymorning', '#flames1stgoal', '#VibeFtJimin', '#FULCHE', 'OHIP', 'Lori Harvey', 'Jeff Beck', 'Garland', 'Davos', 'Willian', 'Velma', 'Joao Felix', 'Therrien', 'Weber', 'Priscilla', 'Sergachev', 'jake evans', 'Luka', 'Fulham', 'Robbie Bachman', 'M&Ms', 'William Nylander', 'WARRIOR NUN NEW HOME', 'Taeyang', 'Chalobah', 'Koulibaly', 'GAME DAY', 'Benjamin Mendy', 'Star Blanket Cree Nation', 'Vendredi 13', 'Carey', 'Passion of the Christ 2', 'McMann', 'Cole Caufield', 'Doug Ford', 'Break Point', 'WotC', 'Tesla', 'Paul Ryan', ""Saint-Roch-de-l'Achigan"", 'Markov', 'Leafs', 'Morty', 'The Littlest Hobo', 'Japan']",2023-01-13,1613957481880748032
20,SamE2X05,,London,United Kingdom,,2021-12-02,240,34,136,4.0,False,Happy with the latest signings 👍 Christ signing announcement has topped off a good day in the capital #wafc,0,0,19,False,['wafc'],1,"['#PakvsNZ', 'mRNA', 'Manchester Derby', '#ToriesOut190', 'Taeyang', 'Velma', 'Soledar', 'Donny', 'Jennie', 'Friday the 13th', '#OrangeMonday', '#TippingPoint', 'Mendy', 'Dartmoor', 'Bacon', 'Joanna', 'Beth', 'Lori Harvey', 'Walsall', 'Dead End', 'Year 2', 'James Vowles', 'Leandro Trossard', 'Ambleside', 'Meydan', 'Grenfell', 'Dortmund', 'Kulusevski', 'Damson', 'NOT GUILTY', 'Dr Malhotra', 'Freeports', 'Statins', 'Flower of Scotland', 'Swede', 'Forest School', 'Aseem', 'Khan', 'WotC', 'Reception', 'Femi', 'RNLI', 'Uxbridge', 'Turnip', 'ULEZ', 'Nursery', 'Inverness', 'Stones', 'Renee']",2023-01-13,1613957755764674560
21,Ishtiaqhussainn,,London Bridge Staircase,United Kingdom,,2020-03-30,4484,181,350,1.9337016574585635,False,Lovely 😍 https://t.co/aogFU8Ewqg,0,0,3,False,,0,"['Donny', 'Jennie', 'Friday the 13th', '#TippingPoint', '#OrangeMonday', 'Mendy', 'Dartmoor', '#FridayFeeling', 'Toney', 'Bacon', 'Joanna', 'Beth', '#BVFootball', 'Walsall', 'Lori Harvey', '#M3GAN', 'Dead End', 'Year 2', 'James Vowles', 'Meydan', 'Leandro Trossard', 'Ambleside', 'Grenfell', 'Dortmund', 'Damson', 'Kulusevski', 'NOT GUILTY', 'Dr Malhotra', 'Statins', 'Flower of Scotland', 'Freeports', 'Forest School', 'Aseem', 'WotC', 'Khan', 'Swede', 'Manchester Derby', 'Renee', 'RNLI', 'Reception', 'Uxbridge', 'Nursery', 'Femi', 'Turnip', 'Inverness', 'ULEZ', 'Stones', 'Taeyang', 'M&Ms', 'Sam Smith']",2023-01-13,1613957742196129792
22,PennyLnWombles,,Sefton Park,United Kingdom,,2022-06-22,1745,688,721,1.0479651162790697,False,"Kathy G has tidied up Livingston Drive both North and South today 

1 bag of litter 
1 awful camera phone to take the photo 😂

#pennylanewombles #KeepLiverpoolTidy #LitterHeroes #litterfree #binfluencer #recyling #pennylane #sustainability #nature #lovewhereyoulive https://t.co/cfYkDw7jOE",0,0,35,False,"['pennylanewombles', 'KeepLiverpoolTidy', 'LitterHeroes', 'litterfree', 'binfluencer', 'recyling', 'pennylane', 'sustainability', 'nature', 'lovewhereyoulive']",10,"['Donny', 'Jennie', 'Friday the 13th', '#TippingPoint', '#OrangeMonday', 'Mendy', 'Dartmoor', '#FridayFeeling', 'Toney', 'Bacon', 'Joanna', 'Beth', '#BVFootball', 'Walsall', 'Lori Harvey', '#M3GAN', 'Dead End', 'Year 2', 'James Vowles', 'Meydan', 'Leandro Trossard', 'Ambleside', 'Grenfell', 'Dortmund', 'Damson', 'Kulusevski', 'NOT GUILTY', 'Dr Malhotra', 'Statins', 'Flower of Scotland', 'Freeports', 'Forest School', 'Aseem', 'WotC', 'Khan', 'Swede', 'Manchester Derby', 'Renee', 'RNLI', 'Reception', 'Uxbridge', 'Nursery', 'Femi', 'Turnip', 'Inverness', 'ULEZ', 'Stones', 'Taeyang', 'M&Ms', 'Sam Smith']",2023-01-13,1613957740270952448
23,sixsixwolf,,Salford,United Kingdom,,2018-12-16,1547,852,1496,1.755868544600939,False,Anyone else’s group chat stay quiet before the @OfficialFPL deadline passes just to say ‘don’t forget your DT lads’ at 18:31 or that just my mates shit banter?,0,0,28,False,,0,"['Donny', 'Jennie', 'Friday the 13th', '#TippingPoint', '#OrangeMonday', 'Mendy', 'Dartmoor', '#FridayFeeling', 'Toney', 'Bacon', 'Joanna', 'Beth', '#BVFootball', 'Walsall', 'Lori Harvey', '#M3GAN', 'Dead End', 'Year 2', 'James Vowles', 'Meydan', 'Leandro Trossard', 'Ambleside', 'Grenfell', 'Dortmund', 'Damson', 'Kulusevski', 'NOT GUILTY', 'Dr Malhotra', 'Statins', 'Flower of Scotland', 'Freeports', 'Forest School', 'Aseem', 'WotC', 'Khan', 'Swede', 'Manchester Derby', 'Renee', 'RNLI', 'Reception', 'Uxbridge', 'Nursery', 'Femi', 'Turnip', 'Inverness', 'ULEZ', 'Stones', 'Taeyang', 'M&Ms', 'Sam Smith']",2023-01-13,1613957722990313483
24,Hooper1Ma,,Hastings,United Kingdom,,2011-05-27,1816,307,1001,3.260586319218241,False,I saw today a Major Vidler mentioned with regard to that area in the Flood Mitigation Strategy for Eastbourne and Wealden. @MediaStellaria have recorded some really interesting audio with people using Shinewater Lakes and surrounding area. Thks for the other info. https://t.co/qI1MAjhsM2,0,0,42,True,,0,"['Donny', 'Jennie', 'Friday the 13th', '#TippingPoint', '#OrangeMonday', 'Mendy', 'Dartmoor', '#FridayFeeling', 'Toney', 'Bacon', 'Joanna', 'Beth', '#BVFootball', 'Walsall', 'Lori Harvey', '#M3GAN', 'Dead End', 'Year 2', 'James Vowles', 'Meydan', 'Leandro Trossard', 'Ambleside', 'Grenfell', 'Dortmund', 'Damson', 'Kulusevski', 'NOT GUILTY', 'Dr Malhotra', 'Statins', 'Flower of Scotland', 'Freeports', 'Forest School', 'Aseem', 'WotC', 'Khan', 'Swede', 'Manchester Derby', 'Renee', 'RNLI', 'Reception', 'Uxbridge', 'Nursery', 'Femi', 'Turnip', 'Inverness', 'ULEZ', 'Stones', 'Taeyang', 'M&Ms', 'Sam Smith']",2023-01-13,1613957714077679616
25,SmartSacks,,Brampton,United Kingdom,,2012-01-09,29876,4160,3698,0.8889423076923076,False,Just the funniest...i really hope this makes you laugh out loud.. I did!! https://t.co/lJi2oq9zGC,0,0,14,False,,0,"['Donny', 'Jennie', 'Friday the 13th', '#TippingPoint', '#OrangeMonday', 'Mendy', 'Dartmoor', '#FridayFeeling', 'Toney', 'Bacon', 'Joanna', 'Beth', '#BVFootball', 'Walsall', 'Lori Harvey', '#M3GAN', 'Dead End', 'Year 2', 'James Vowles', 'Meydan', 'Leandro Trossard', 'Ambleside', 'Grenfell', 'Dortmund', 'Damson', 'Kulusevski', 'NOT GUILTY', 'Dr Malhotra', 'Statins', 'Flower of Scotland', 'Freeports', 'Forest School', 'Aseem', 'WotC', 'Khan', 'Swede', 'Manchester Derby', 'Renee', 'RNLI', 'Reception', 'Uxbridge', 'Nursery', 'Femi', 'Turnip', 'Inverness', 'ULEZ', 'Stones', 'Taeyang', 'M&Ms', 'Sam Smith']",2023-01-13,1613957709115854849
26,MusicNewsWeb,,Tottenham,United Kingdom,,2009-03-31,137812,64597,46495,0.7197702679691007,False,https://t.co/cGbkkwoEyS Taylor swift notches up fifth week at Number 1 on UK Albums Chart with 'Midnights' - #TaylorSwift @taylorswift13 https://t.co/NdlKPmTYU2 https://t.co/C3V2d5m2fg,0,0,21,False,['TaylorSwift'],1,"['Donny', 'Jennie', 'Friday the 13th', '#TippingPoint', '#OrangeMonday', 'Mendy', 'Dartmoor', '#FridayFeeling', 'Toney', 'Bacon', 'Joanna', 'Beth', '#BVFootball', 'Walsall', 'Lori Harvey', '#M3GAN', 'Dead End', 'Year 2', 'James Vowles', 'Meydan', 'Leandro Trossard', 'Ambleside', 'Grenfell', 'Dortmund', 'Damson', 'Kulusevski', 'NOT GUILTY', 'Dr Malhotra', 'Statins', 'Flower of Scotland', 'Freeports', 'Forest School', 'Aseem', 'WotC', 'Khan', 'Swede', 'Manchester Derby', 'Renee', 'RNLI', 'Reception', 'Uxbridge', 'Nursery', 'Femi', 'Turnip', 'Inverness', 'ULEZ', 'Stones', 'Taeyang', 'M&Ms', 'Sam Smith']",2023-01-13,1613957706326626304
27,DaveWiles15,,Banbury,United Kingdom,,2014-06-12,5293,231,416,1.800865800865801,False,"Finally some good news, Thanks to an Anonymous Benefactor I have managed to purchase another capture card, so guess who's back tonight.",0,0,22,False,,0,"['Donny', 'Jennie', 'Friday the 13th', '#TippingPoint', '#OrangeMonday', 'Mendy', 'Dartmoor', '#FridayFeeling', 'Toney', 'Bacon', 'Joanna', 'Beth', '#BVFootball', 'Walsall', 'Lori Harvey', '#M3GAN', 'Dead End', 'Year 2', 'James Vowles', 'Meydan', 'Leandro Trossard', 'Ambleside', 'Grenfell', 'Dortmund', 'Damson', 'Kulusevski', 'NOT GUILTY', 'Dr Malhotra', 'Statins', 'Flower of Scotland', 'Freeports', 'Forest School', 'Aseem', 'WotC', 'Khan', 'Swede', 'Manchester Derby', 'Renee', 'RNLI', 'Reception', 'Uxbridge', 'Nursery', 'Femi', 'Turnip', 'Inverness', 'ULEZ', 'Stones', 'Taeyang', 'M&Ms', 'Sam Smith']",2023-01-13,1613957705206763520
