,name,age,location,gender,join_date,total tweets,followers,following,verified,tweet,likes,retweets,date,word count,launguage,is quote,hashtags,trending,tweet id
3927,mcfaddinward,,"Beaumont, Texas",,2022-10-19,58,7,151,False,"New year...NEW YOU! 🥳

Looking to start your year off focused on your goals and aspirations? Join us for a McFaddin-Ward House Vision Board Workshop  on Monday, Jan. 16th from 10AM to 12PM. More info: https://t.co/xi0lSS4i87 https://t.co/ytDQOwhimo",0,0,2023-01-09,37,en,False,[],[],1612459910008012802
3928,bukobaprincess,,Belgium,,2018-07-10,3741,336,327,False,I can't stop saying 'be fucking for real' 😭😭,0,0,2023-01-09,9,en,False,[],"['#andusg', '#gnkclu', 'Zidane', '#zwakvm', '#verlorenmaandag', '#rsca', 'Anderlecht', 'Lula', 'Brazilië', 'Kindermans', 'Pedri', 'Ferran', 'Zizou', 'Araujo', 'Sylla', 'Dembele', 'Le Graet', 'Genk', 'Roberto Martinez', 'Romeinen', 'Neerpede', 'Brasilia', 'Brésil', 'Union', 'Regi', 'Paintsil', 'Potter', 'Visser', 'Portugal', 'Parker', 'Christensen', 'vanaken', 'Romeinse', 'Ndiaye', 'Mahrez', 'Vertonghen', 'Ziyech', 'van driessche', 'Congrès', 'Cour', 'amuzu', 'Van Crombrugge', 'Simone Veil', 'Galliërs', 'FA Cup', 'Ambiorix', 'mignolet', ""THEY CAN'T BEAT US"", 'Meijer', 'Gavi']",1612459909999919110
3929,Krishinfo05,,,,2013-11-03,161803,1669,727,False,"RT @LycaProductions: Come join the part of history, as #THUNIVU 💥 glimpse is all set to be screened at @Nasdaq 💸 1st time ever for an India…",0,706,2023-01-09,27,en,False,"[{'text': 'THUNIVU', 'indices': [55, 63]}]",,1612459909999890432
3930,JumpShotJack,,,,2013-12-08,28344,278,1813,False,You're welcome @LadyF1103 https://t.co/qwvhifnVXx,0,0,2023-01-09,4,en,True,[],,1612459909995728898
3931,NurMaisarahAli4,,Malaysia,,2018-02-25,28214,950,1895,False,RT @jijiabaobei: hes back!! hes ready 👊🏻 and let’s have faith! https://t.co/0M1Kr5DCuK,0,11,2023-01-09,12,en,False,[],"['Bale', '#YetToComeInCinemas', '#AlchemyOfSouls2Ep10', '#y2kDMDCallingYou', 'DAYDREAM CONCEPT PHOTO', '#MoonlightSunrise', '#MileApoXDior', 'Wendy', 'DAYDREAM CONCEPT CLIP', 'Eunha', 'Tuchel', 'Happy Birthday YB', 'APPLETV SAVE WARRIOR NUN', 'changkyun', ""THEY CAN'T BEAT US"", 'Hong', 'Vietnam', 'Chelsea', 'COMPOSED BY JIMIN', 'Rowoon', 'Thoma', 'taehyun', 'Potter', 'kihyun', 'yeonjung', 'JEONGYEON', 'Alien Workshop', 'chenle', 'Keith', 'Jooheon', 'Havertz', 'hyungwon', 'Portugal', 'Referral Code', 'jin seol', 'The End', 'Park Jin', 'choi yeonjun', 'SOWON', 'MARK LEE', 'Zidane', 'splendid 16yrs of sritijha', 'Minhyuk', 'wjsn', 'Gundam', 'Brazil', 'Chani', 'jeonghan', 'Teddy', 'Jang Uk']",1612459909995724802
3932,BenColeman6,,,,2012-03-14,15566,2,6,False,'Pay to slay': Biden sued for sending half a billion in Palestinian aid that could fund acts of terrorism https:// Many countries get aid from USA that also are terrorist. Why would we contribute a country that is not a friend of USA and don't know where it is going to be used?,0,0,2023-01-09,53,en,False,[],,1612459909991530497
3933,TaaylorLeeigh,,,,2011-11-26,7136,421,409,False,"RT @JMUFootball: Hearts are heavy as we lost one of our own.

Our thoughts and prayers are with the Cheatham family during this difficult t…",0,172,2023-01-09,24,en,False,[],,1612459909991522304
3934,Sol_Badguy2,,,,2021-09-17,52757,387,3,False,ragna the bloodedge sucks at guilty gear xrd,0,0,2023-01-09,8,en,False,[],,1612459909987332097
3935,natasha_tracy,,,,2010-06-26,49794,32083,12655,False,Dealing with Bipolar #Stigma and #Prejudice in the #Workplace | #Bipolar #Burble | https://t.co/cxj8D96KBy https://t.co/uQHgcxGhNc,0,0,2023-01-09,15,en,False,"[{'text': 'Stigma', 'indices': [21, 28]}, {'text': 'Prejudice', 'indices': [33, 43]}, {'text': 'Workplace', 'indices': [51, 61]}, {'text': 'Bipolar', 'indices': [64, 72]}, {'text': 'Burble', 'indices': [73, 80]}]",,1612459909987160064
3936,BizzleTheBadGuy,,India,,2013-07-28,79730,14603,5968,False,RT @PAVGOD: they’re best friends https://t.co/GobR451paH,0,360,2023-01-09,6,en,False,[],"['Gareth Bale', '#GurinderDhawan', '#HappyBirthdayHrithikRoshan', '#CrazyDealsoniPhone', '#MissionMajnu', 'Inspired By Sushant', 'Felix', '#GetOutRavi', 'MALLIKA RULES ITV AS RADHA', 'VIRTUOUS SOUL MUNAWAR', 'CHOUDHARY SIBLINGS REUNION', 'Bumrah', 'Rohit Sharma', 'Ishan', 'ODIs', 'Bear Grylls', 'Chelsea', 'FANS DEMAND ANKIT IN BB', 'राहुल गांधी', 'iPhone 14', 'Gill', 'Kolar', 'T20Is', 'Tapasvi', '#VarisuBORampageIn2D', '#DominantTHUNIVUBookings', '#MassMogudu', '#VanakkamUPGIS23', '#ऋचाराजपूत_को_गिरफ़्तार_करो', '#PakistanEconomy', '#MotorolaXPantoneColourOf2023', '#देश_की_आवाज़_राहुल', '#UPSCAspirantsProtest', '#motoxstylelistings', '#MotoEdge30FusionVivaMagenta', '#UPSCCompensatoryAttempt2023', '#CelebrationOfVarisu', '#zerodha', '#SidharthMalhotra', '#MoonRiseOutTomorrow', '#caresults', '#PathaanTrailerTomorrow', '#RSSodhi', '#VarisuFDFS', '#BabarAzam𓃵', '#Amul', '#SA20', '#NTRGoesGlobal', '#Goodachari2', '#VeeraSimhaReddyOnJan12th']",1612459909983141889
3937,TechmemeChatter,,,,2016-09-02,261283,3075,1,False,RT @StollmeyerEU: “Our country has been going through a very strong process of radicalizing people to extremist views — principally online.…,0,18,2023-01-09,21,en,False,[],,1612459909966364674
3938,helly_shaholics,,"Jharkhand, India",,2021-01-30,5847,171,333,False,RT @hereforshivrit: Aren't they the cutest🥹💗 #shivrit #ShivRitians #ShivRitArmy #ShivThakare #NimritKaurAhluwalia #BB16 https://t.co/uuQeTc…,0,19,2023-01-09,13,en,False,"[{'text': 'shivrit', 'indices': [45, 53]}, {'text': 'ShivRitians', 'indices': [54, 66]}, {'text': 'ShivRitArmy', 'indices': [67, 79]}, {'text': 'ShivThakare', 'indices': [80, 92]}, {'text': 'NimritKaurAhluwalia', 'indices': [93, 113]}, {'text': 'BB16', 'indices': [114, 119]}]",[],1612459909966364672
3939,_xmxv,,,,2017-08-13,11026,73,85,False,RT @babyariees: napping together is a love language idc,0,435,2023-01-09,9,en,False,[],,1612459909949579266
3940,RubyPerry11,,"Kansas, USA",,2013-02-07,184807,6060,4090,False,RT @RubyPerry11: https://t.co/LLXmS6G4PZ FREE SHIPPING  #lamps #nightlights #handmade #giftsforher #birthdaygirl   #FreeShipping #Retro #la…,0,6,2023-01-09,16,en,False,"[{'text': 'lamps', 'indices': [56, 62]}, {'text': 'nightlights', 'indices': [63, 75]}, {'text': 'handmade', 'indices': [76, 85]}, {'text': 'giftsforher', 'indices': [86, 98]}, {'text': 'birthdaygirl', 'indices': [99, 112]}, {'text': 'FreeShipping', 'indices': [115, 128]}, {'text': 'Retro', 'indices': [129, 135]}]",[],1612459909945122816
3941,Arsalan77843430,,,,2022-01-28,14411,764,663,False,"If a person does not believe in miracles, he has no life experience.

CHOUDHARY SIBLINGS REUNION

AS",1,0,2023-01-09,15,en,False,[],,1612459909932810240
